temperature,rainfall,humidity,yeild_apples
25,76,99,72
39,65,70,60
59,45,77,65
84,63,38,57
66,50,52,56
41,94,77,70
91,57,96,87
49,96,99,83
67,20,28,38
85,31,95,79
78,46,34,50
31,40,63,49
52,77,85,74
28,66,77,60
32,50,57,48
31,79,53,52
45,76,48,53
80,52,27,48
24,45,90,61
20,89,84,66
32,20,96,62
56,44,74,63
93,70,80,82
62,87,73,72
85,48,90,80
87,86,93,90
43,57,69,59
28,71,44,45
44,95,58,61
88,48,46,59
80,50,38,53
27,75,89,68
93,61,73,77
31,87,62,58
38,94,44,52
55,93,55,63
56,22,47,45
38,64,79,64
26,22,40,32
27,98,24,40
55,37,38,43
63,69,46,56
21,34,21,24
31,89,85,70
45,69,91,73
48,86,77,70
27,51,27,32
40,47,88,65
29,45,69,52
35,55,85,64
62,43,58,56
67,95,54,66
35,46,55,47
36,75,28,40
97,62,87,85
29,52,25,32
31,26,72,50
94,100,59,78
47,52,76,62
46,52,70,59
40,68,72,62
35,27,84,58
69,96,29,54
69,57,52,58
33,45,71,54
88,95,82,86
48,90,69,67
55,78,66,65
28,44,67,51
34,58,27,35
62,46,89,72
92,78,89,88
20,69,70,55
88,49,65,69
56,83,36,51
51,67,54,56
47,50,71,60
32,94,71,64
33,21,96,62
100,81,69,81
31,58,22,32
74,96,33,58
79,98,99,93
49,76,38,49
78,51,79,73
28,51,62,50
43,49,55,50
73,62,50,59
41,59,78,63
44,31,52,45
29,97,29,43
38,75,60,56
68,60,29,47
46,71,37,46
44,39,49,46
25,78,31,39
52,84,47,56
20,98,71,61
99,47,67,73
68,83,94,84
38,90,20,39
99,67,43,65
53,71,39,50
85,30,49,56
90,20,43,52
62,67,38,51
81,81,78,80
23,69,65,53
86,66,22,50
58,89,76,73
28,51,88,63
98,33,76,74
41,22,84,59
52,69,60,59
46,68,38,46
87,35,54,60
37,76,74,63
86,80,40,62
57,86,45,57
31,94,87,72
45,31,46,43
26,20,31,27
56,36,68,58
96,96,48,72
35,57,23,33
51,28,78,60
44,40,78,60
69,44,78,68
52,29,84,63
49,91,85,75
44,45,51,48
92,48,78,76
37,30,42,38
62,34,59,55
66,71,61,64
100,77,20,55
95,30,25,47
86,45,100,85
70,60,99,82
37,36,55,46
50,33,26,35
33,40,64,50
86,98,25,58
57,75,21,43
53,24,73,57
34,78,23,37
55,45,42,46
89,84,82,84
68,47,84,72
48,87,38,51
45,67,67,60
44,29,77,58
79,72,58,67
31,70,96,71
31,73,49,48
92,56,85,81
69,60,85,75
66,26,35,42
94,81,79,84
29,71,65,55
23,97,21,37
74,64,85,78
39,86,76,67
22,83,52,49
32,21,59,43
37,87,61,59
29,85,64,58
94,72,48,67
85,83,73,79
48,65,25,40
50,91,77,72
23,36,40,34
46,72,51,54
90,68,95,88
47,58,32,42
80,85,85,84
73,76,36,55
26,89,95,73
84,27,37,49
55,37,57,52
41,97,59,61
30,21,41,34
24,62,32,36
73,58,73,70
57,82,67,67
66,30,60,56
36,87,41,49
96,25,86,77
45,89,20,41
46,72,64,60
77,77,75,76
29,65,62,53
80,44,90,78
43,25,94,65
55,86,76,72
45,53,77,63
35,85,38,46
63,38,22,38
36,87,59,58
92,22,32,48
100,58,90,87
31,98,78,68
86,21,82,71
35,56,60,52
63,37,81,67
45,89,80,71
43,59,61,55
40,47,54,48
83,35,68,66
89,75,55,69
80,52,91,80
100,34,60,67
84,61,31,53
72,46,45,53
95,29,77,73
81,36,28,46
55,65,29,44
60,35,40,45
48,76,85,72
82,91,95,90
48,24,45,42
98,42,28,52
76,81,31,54
93,91,88,90
84,48,57,63
73,48,64,64
55,37,46,47
74,92,90,86
23,44,90,61
52,86,41,53
76,79,25,51
51,22,86,63
25,77,78,62
94,65,74,78
39,32,29,33
87,86,100,93
51,70,29,44
40,40,75,58
37,55,69,57
57,28,25,35
65,63,51,58
42,77,71,64
64,83,72,72
61,80,36,52
98,89,50,72
66,86,77,76
35,76,96,74
30,57,38,39
38,97,98,80
100,73,22,56
20,97,79,65
51,66,100,78
33,62,31,38
58,41,37,44
35,95,25,42
77,34,64,62
49,48,86,67
61,28,55,51
27,55,86,62
67,69,23,45
55,79,79,72
25,98,72,63
27,60,40,40
40,93,82,72
33,58,75,59
85,95,73,81
79,50,47,57
79,21,22,39
39,22,76,54
25,85,78,64
81,96,63,75
90,76,61,73
58,31,27,37
49,40,34,40
60,35,43,46
63,85,56,64
28,32,28,29
46,54,57,53
36,52,96,69
82,74,44,61
48,35,35,39
96,30,25,47
65,83,77,75
80,63,51,62
85,96,78,84
83,42,83,75
84,25,72,66
54,60,80,68
62,70,97,81
79,63,57,65
58,81,43,55
30,40,72,53
86,89,23,55
80,35,49,56
69,60,85,75
42,48,94,69
36,99,49,55
58,98,22,48
56,90,91,80
57,95,88,80
21,30,30,27
80,86,80,81
21,80,83,64
92,28,89,78
78,51,29,48
38,32,36,36
90,81,58,72
56,30,72,59
44,26,21,29
68,99,35,58
55,24,63,53
45,27,45,41
30,28,51,40
71,65,45,57
52,76,22,42
68,40,86,71
76,35,57,58
60,70,32,48
41,59,21,35
83,40,21,43
99,61,53,68
71,72,95,83
49,68,86,71
21,96,79,65
47,31,51,46
90,69,100,91
34,71,26,37
68,81,71,72
22,33,64,45
54,61,35,46
67,41,45,51
94,81,20,54
91,99,66,80
57,25,95,70
38,66,65,57
73,47,45,54
83,52,54,62
41,36,44,42
88,82,27,56
43,47,28,36
23,24,94,59
26,98,31,43
81,44,24,45
53,96,72,71
30,84,91,71
29,42,41,38
61,27,66,57
47,82,24,42
25,63,98,69
54,65,73,66
54,79,71,68
98,78,94,92
35,41,53,45
56,22,26,34
86,30,99,81
76,23,96,75
64,90,80,77
42,99,46,55
47,66,31,43
72,78,73,74
34,33,99,66
67,74,51,60
64,94,35,56
42,87,52,56
89,81,74,80
92,90,93,92
86,64,99,88
76,20,68,61
95,69,42,63
53,77,46,54
45,34,83,62
54,66,30,44
36,34,25,30
65,96,23,50
78,93,95,90
50,35,66,55
94,35,67,69
77,76,57,67
95,61,66,74
99,96,97,97
20,28,37,30
70,25,34,43
20,74,57,49
26,39,53,42
65,74,93,81
54,83,98,82
26,25,88,57
69,80,41,57
41,75,93,74
68,64,99,83
88,66,90,85
81,88,39,61
65,34,32,42
85,59,38,56
34,83,67,60
92,22,47,56
92,59,78,78
72,25,66,60
94,68,25,54
65,82,91,81
65,96,48,63
29,54,24,32
68,52,60,61
57,71,85,74
72,95,52,67
39,21,27,29
39,54,37,41
77,32,45,52
89,88,45,67
36,97,21,41
26,78,46,46
73,96,87,85
23,45,72,52
69,43,34,46
85,55,96,84
81,97,75,81
68,72,85,77
21,22,64,43
50,22,95,67
53,93,28,48
85,100,32,62
56,58,47,52
42,61,44,47
56,82,38,52
96,43,59,67
46,75,56,57
76,21,71,62
89,72,32,57
45,72,90,73
47,95,79,73
98,50,31,55
69,32,54,54
49,32,59,51
76,48,64,64
76,51,62,64
34,71,49,49
71,34,83,70
22,48,86,59
84,78,73,77
24,93,24,38
37,81,82,68
49,77,82,71
88,72,97,89
32,46,80,59
82,85,63,73
39,45,99,70
37,92,26,42
99,26,94,82
60,85,29,50
75,93,78,80
34,40,42,39
81,52,33,51
70,44,91,75
88,55,96,85
42,51,25,35
26,57,29,34
74,68,70,71
37,63,79,63
48,73,22,40
97,92,59,77
99,62,96,90
24,75,60,52
52,80,36,50
29,75,92,70
47,39,74,59
34,35,86,60
52,51,25,38
93,42,78,75
81,100,45,67
100,80,26,59
63,48,61,59
48,51,47,48
27,73,78,62
60,98,95,85
78,79,22,50
99,30,42,57
91,27,71,68
85,95,20,54
51,90,39,53
37,67,96,72
46,94,24,45
51,99,37,54
76,39,63,62
74,70,20,46
53,88,26,46
95,69,90,87
64,38,64,59
68,88,22,49
79,55,66,68
87,39,63,65
85,100,90,90
84,40,52,59
55,70,48,54
47,79,57,58
59,52,56,56
84,83,43,63
27,71,70,57
85,81,75,79
40,52,36,40
58,26,84,65
64,92,59,67
63,68,78,72
79,46,73,69
51,68,24,41
54,63,69,63
75,61,68,69
30,48,33,35
96,65,87,85
43,69,48,51
55,87,42,55
88,59,33,55
57,75,91,78
43,59,56,53
88,100,76,84
24,31,62,44
26,37,68,49
73,36,77,68
70,43,79,69
29,91,93,73
49,66,28,42
53,53,85,69
35,28,73,53
94,83,59,74
24,47,39,36
88,43,78,74
28,25,76,51
53,87,30,48
36,55,46,45
27,66,46,44
39,34,55,46
40,43,47,44
34,68,49,48
97,42,26,50
53,54,87,70
51,84,36,50
74,65,94,82
87,44,54,62
42,55,66,57
83,86,37,61
30,50,46,42
36,75,77,64
51,57,20,37
98,35,73,73
66,29,73,62
48,80,41,51
90,83,63,75
52,46,60,55
61,75,75,71
44,34,32,36
69,32,35,45
35,45,36,38
81,65,33,54
21,44,86,58
90,81,83,85
41,86,52,56
35,79,22,37
38,46,94,68
99,35,83,78
48,54,97,74
98,54,34,57
49,62,52,53
28,72,84,65
39,58,66,56
62,59,74,67
49,60,26,40
90,90,47,68
40,32,49,43
62,75,72,70
21,34,32,29
85,38,75,71
81,70,43,60
42,80,69,63
39,21,92,62
94,96,99,97
43,55,42,45
41,85,41,50
57,95,56,64
64,21,20,33
48,23,29,34
43,29,86,62
100,60,50,67
42,27,83,60
42,99,27,46
99,39,88,82
61,20,95,70
64,60,75,69
100,60,27,56
84,35,76,70
75,32,97,77
67,97,96,88
22,24,34,28
37,76,92,72
49,64,83,69
38,22,60,46
81,45,100,83
